2023-06-12 15:22:27,184 INFO    StreamThr :26136 [internal.py:wandb_internal():86] W&B internal server running at pid: 26136, started at: 2023-06-12 15:22:27.184677
2023-06-12 15:22:27,185 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: status
2023-06-12 15:22:27,190 INFO    WriterThread:26136 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_152227-osyec1dl\run-osyec1dl.wandb
2023-06-12 15:22:27,190 DEBUG   SenderThread:26136 [sender.py:send():375] send: header
2023-06-12 15:22:27,255 DEBUG   SenderThread:26136 [sender.py:send():375] send: run
2023-06-12 15:22:28,521 INFO    SenderThread:26136 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230612_152227-osyec1dl\files
2023-06-12 15:22:28,521 INFO    SenderThread:26136 [sender.py:_start_run_threads():1124] run started: osyec1dl with start time 1686576147.187996
2023-06-12 15:22:28,521 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: summary_record
2023-06-12 15:22:28,522 INFO    SenderThread:26136 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-12 15:22:28,529 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: check_version
2023-06-12 15:22:28,529 DEBUG   SenderThread:26136 [sender.py:send_request():402] send_request: check_version
2023-06-12 15:22:28,690 DEBUG   HandlerThread:26136 [handler.py:handle_request():144] handle_request: run_start
2023-06-12 15:22:28,705 DEBUG   HandlerThread:26136 [system_info.py:__init__():31] System info init
2023-06-12 15:22:28,705 DEBUG   HandlerThread:26136 [system_info.py:__init__():46] System info init done
2023-06-12 15:22:28,705 INFO    HandlerThread:26136 [system_monitor.py:start():181] Starting system monitor
2023-06-12 15:22:28,705 INFO    SystemMonitor:26136 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-12 15:22:28,705 INFO    HandlerThread:26136 [system_monitor.py:probe():201] Collecting system info
2023-06-12 15:22:28,705 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started cpu monitoring
2023-06-12 15:22:28,705 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started disk monitoring
2023-06-12 15:22:28,705 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started gpu monitoring
2023-06-12 15:22:28,721 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started memory monitoring
2023-06-12 15:22:28,721 DEBUG   HandlerThread:26136 [system_info.py:probe():195] Probing system
2023-06-12 15:22:28,738 INFO    SystemMonitor:26136 [interfaces.py:start():190] Started network monitoring
2023-06-12 15:22:28,738 DEBUG   HandlerThread:26136 [system_info.py:_probe_git():180] Probing git
2023-06-12 15:22:28,831 DEBUG   HandlerThread:26136 [system_info.py:_probe_git():188] Probing git done
2023-06-12 15:22:28,831 DEBUG   HandlerThread:26136 [system_info.py:probe():240] Probing system done
