2023-06-16 08:04:01,117 INFO    StreamThr :32784 [internal.py:wandb_internal():86] W&B internal server running at pid: 32784, started at: 2023-06-16 08:04:01.109742
2023-06-16 08:04:01,118 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: status
2023-06-16 08:04:01,123 INFO    WriterThread:32784 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_080401-zvlrl7iu\run-zvlrl7iu.wandb
2023-06-16 08:04:01,125 DEBUG   SenderThread:32784 [sender.py:send():375] send: header
2023-06-16 08:04:01,228 DEBUG   SenderThread:32784 [sender.py:send():375] send: run
2023-06-16 08:04:01,961 INFO    SenderThread:32784 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_080401-zvlrl7iu\files
2023-06-16 08:04:01,961 INFO    SenderThread:32784 [sender.py:_start_run_threads():1124] run started: zvlrl7iu with start time 1686895441.118764
2023-06-16 08:04:01,961 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: summary_record
2023-06-16 08:04:01,962 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-16 08:04:01,978 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: check_version
2023-06-16 08:04:01,979 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: check_version
2023-06-16 08:04:02,190 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: run_start
2023-06-16 08:04:02,206 DEBUG   HandlerThread:32784 [system_info.py:__init__():31] System info init
2023-06-16 08:04:02,210 DEBUG   HandlerThread:32784 [system_info.py:__init__():46] System info init done
2023-06-16 08:04:02,210 INFO    HandlerThread:32784 [system_monitor.py:start():181] Starting system monitor
2023-06-16 08:04:02,210 INFO    SystemMonitor:32784 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-16 08:04:02,210 INFO    HandlerThread:32784 [system_monitor.py:probe():201] Collecting system info
2023-06-16 08:04:02,210 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started cpu monitoring
2023-06-16 08:04:02,210 DEBUG   HandlerThread:32784 [system_info.py:probe():195] Probing system
2023-06-16 08:04:02,210 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started disk monitoring
2023-06-16 08:04:02,222 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started gpu monitoring
2023-06-16 08:04:02,222 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started memory monitoring
2023-06-16 08:04:02,237 DEBUG   HandlerThread:32784 [system_info.py:_probe_git():180] Probing git
2023-06-16 08:04:02,237 INFO    SystemMonitor:32784 [interfaces.py:start():190] Started network monitoring
2023-06-16 08:04:02,362 DEBUG   HandlerThread:32784 [system_info.py:_probe_git():188] Probing git done
2023-06-16 08:04:02,362 DEBUG   HandlerThread:32784 [system_info.py:probe():240] Probing system done
